,eventid,iyear,imonth,iday,extended,country_txt,city,latitude,longitude,location,summary,crit1,crit2,crit3,alternative_txt,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,gname,guncertain1,nperps,nperpcap,claimed,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weapdetail,nkill,nkillter,nwound,property,addnotes,scite1,scite2,scite3,related
553,201408250058,2014,8,25,0,Ukraine,Donetsk,47.981646999999995,37.762325,The incident occurred in the Kyivsky neighborhood,"08/25/2014: Projectiles landed near houses on Velozavodska Street and detonated in Kyivsky neighborhood, Donetsk city, Donetsk oblast, Ukraine. There were no reported casualties in the blasts. This was one of two attacks in Kyivsky on the same day. No group claimed responsibility for the incidents.",1,1,1,,1,0,3,Bombing/Explosion,14,Private Citizens & Property,76.0,House/Apartment/Residence,Not Applicable,Houses,Unknown,0.0,-99.0,0.0,0.0,6,Explosives,11.0,"Projectile (rockets, mortars, RPGs, etc.)",,,,,Shells were used in the attack.,0.0,0.0,0.0,1,,"""Donetsk City Council says three civilians die last night,"" Interfax-Ukraine, August 26, 2014.",,,"201408250057, 201408250058"
554,201408250069,2014,8,25,1,Ukraine,Mnohopillya,47.858047,38.221877,,"08/25/2014: Assailants attacked Ukrainian Army soldiers with mortars and firearms near Mnohopillya village, Donetsk oblast, Ukraine. There were no reported casualties in the assault but three journalists, Yehor Vorobyov, Taras Chkan, and Rostislav Shaposhnikov, were abducted. Chkan and Shaposhnikov were released on August 31, 2014, while Vorobyov was released on October 7, 2014. No group claimed responsibility; however, sources attributed the attack to the Donetsk People's Republic.",1,1,1,State Actors,1,0,6,Hostage Taking (Kidnapping),10,Journalists & Media,55.0,Television Journalist/Staff/Facility,Espreso TV,"Journalists: Yehor Vorobyov, Taras Chkan",Donetsk People's Republic,0.0,-99.0,0.0,0.0,6,Explosives,11.0,"Projectile (rockets, mortars, RPGs, etc.)",5.0,Firearms,5.0,Unknown Gun Type,Mortars were used in the attack.,0.0,0.0,0.0,1,There is doubt that this incident meets terrorism-related criteria. Sources suspect that the attack may have been committed by Russian soldiers.,"""Ukrainian journalists said missing in eastern region,"" UNIAN, August 26, 2014.","""Journalist Yehor Vorobyov released,"" Human Rights in Ukraine, October 8, 2014.",,
555,201408250082,2014,8,25,0,Ukraine,Novoazovsk,47.119068,38.066851,,"08/25/2014: Multiple rockets landed near a bakery and detonated in Novoazovsk city, Donetsk oblast, Ukraine. There were no reported casualties in the blasts. No group claimed responsibility; however, sources attributed the attack to the Donetsk People's Republic.",1,1,1,State Actors,1,0,3,Bombing/Explosion,1,Business,7.0,Retail/Grocery/Bakery,Unknown,Bakery,Donetsk People's Republic,0.0,-99.0,0.0,0.0,6,Explosives,11.0,"Projectile (rockets, mortars, RPGs, etc.)",,,,,Grad rockets and howitzers were used in the attack.,0.0,0.0,0.0,1,There is doubt that this incident meets terrorism-related criteria. Sources suspect that the attack may have been committed by Russian soldiers.,"""Government-held Ukraine town hit by rebel shells,"" FOXNews.com, August 27, 2014.","""Ukrainian troops said fighting militants near Russian border,"" Interfax-Ukraine, August 25, 2014.",,
556,201408250084,2014,8,25,1,Ukraine,Novoazovsk,47.118846000000005,38.067066,,"08/25/2014: Assailants abducted five State Border Guard Service of Ukraine (DPSU) personnel near Novoazovsk city, Donetsk oblast, Ukraine. All five hostages were released on September 15, 2014. No group claimed responsibility for the attack.",1,1,0,Insurgency/Guerilla Action,1,0,6,Hostage Taking (Kidnapping),4,Military,39.0,Paramilitary,State Border Guard Service of Ukraine (DPSU),Border Guards,Unknown,0.0,-99.0,0.0,0.0,13,Unknown,,,,,,,,0.0,0.0,0.0,0,,"""Attacks on Ukrainian troops intensify - security update,"" Interfax-Ukraine, September 16, 2014.",,,
557,201408260097,2014,8,27,0,Ukraine,Novoazovsk,47.119068,38.066851,,"08/27/2014: Approximately 10 projectiles were fired and detonated in Novoazovsk city, Donetsk oblast, Ukraine. At least four people were injured in the blasts. No group claimed responsibility; however, sources attributed the attack to the Donetsk People's Republic.",1,1,1,State Actors,1,0,3,Bombing/Explosion,14,Private Citizens & Property,75.0,Village/City/Town/Suburb,Novoazovsk City,City,Donetsk People's Republic,0.0,-99.0,0.0,0.0,6,Explosives,11.0,"Projectile (rockets, mortars, RPGs, etc.)",,,,,Artillery shelling was used in the attack.,0.0,0.0,4.0,1,There is doubt that this incident meets terrorism-related criteria. Sources suspect that the attack may have been committed by Russian soldiers.,"""Ukraine rebels target coastal town,"" BBC, August 27, 2014.","""Kiev says Russian army convoy in east Ukraine,"" Al Jazeera, August 27, 2014.","""Rebels shell government-held Ukrainian town,"" USA Today, August 27, 2014.",
558,201408270053,2014,8,27,0,Ukraine,Unknown,48.573737,39.308157,,"08/27/2014: Assailants attacked a gas pipeline in Luhansk oblast, Ukraine. There were no reported casualties in the incident. No group claimed responsibility; however, sources attributed the attack to the Luhansk People's Republic.",1,1,1,,1,0,7,Facility/Infrastructure Attack,21,Utilities,106.0,Gas,Unknown,Gas Pipeline,Luhansk People's Republic,0.0,-99.0,0.0,0.0,13,Unknown,,,,,,,,0.0,0.0,0.0,1,,"""Militants aim to destroy infrastructure in east Ukraine - spokesman,"" UNIAN, August 27, 2014.",,,
559,201408270054,2014,8,27,0,Ukraine,Starobesheve,47.751732000000004,38.02906,,"08/27/2014: Assailants opened fire on civilians in Starobesheve village, Donetsk oblast, Ukraine. This was one of three assaults targeting villages in Donetsk on the same day. At least 23 people were killed across all three attacks. No group claimed responsibility; however, sources attributed the incidents to the Donetsk People's Republic.",1,1,1,,1,0,2,Armed Assault,14,Private Citizens & Property,75.0,Village/City/Town/Suburb,Starobesheve Village,Village,Donetsk People's Republic,0.0,-99.0,0.0,0.0,5,Firearms,5.0,Unknown Gun Type,,,,,,8.0,0.0,,1,"Casualty numbers for this attack represent an equal division of a cumulative total of killed across incidents 201408270054, 201408270055, and 201408270056.","""Militants aim to destroy infrastructure in east Ukraine - spokesman,"" UNIAN, August 27, 2014.",,,"201408270054, 201408270055, 201408270056"
560,201408270055,2014,8,27,0,Ukraine,Novy Svit,48.427444,37.835751,,"08/27/2014: Assailants opened fire on civilians in Novy Svit village, Donetsk oblast, Ukraine. This was one of three assaults targeting villages in Donetsk on the same day. At least 23 people were killed across all three attacks. No group claimed responsibility; however, sources attributed the incidents to the Donetsk People's Republic.",1,1,1,,1,0,2,Armed Assault,14,Private Citizens & Property,75.0,Village/City/Town/Suburb,Novy Svit Village,Village,Donetsk People's Republic,0.0,-99.0,0.0,0.0,5,Firearms,5.0,Unknown Gun Type,,,,,,8.0,0.0,,1,"Casualty numbers for this attack represent an equal division of a cumulative total of killed across incidents 201408270054, 201408270055, and 201408270056.","""Militants aim to destroy infrastructure in east Ukraine - spokesman,"" UNIAN, August 27, 2014.",,,"201408270054, 201408270055, 201408270056"
561,201408270056,2014,8,27,0,Ukraine,Komsomolske,47.663364,38.073215000000005,,"08/27/2014: Assailants opened fire on civilians in Komsomolske village, Donetsk oblast, Ukraine. This was one of three assaults targeting villages in Donetsk on the same day. At least 23 people were killed across all three attacks. No group claimed responsibility; however, sources attributed the incidents to the Donetsk People's Republic.",1,1,1,,1,0,2,Armed Assault,14,Private Citizens & Property,75.0,Village/City/Town/Suburb,Komsomolske Village,Village,Donetsk People's Republic,0.0,-99.0,0.0,0.0,5,Firearms,5.0,Unknown Gun Type,,,,,,8.0,0.0,,1,"Casualty numbers for this attack represent an equal division of a cumulative total of killed across incidents 201408270054, 201408270055, and 201408270056.","""Militants aim to destroy infrastructure in east Ukraine - spokesman,"" UNIAN, August 27, 2014.",,,"201408270054, 201408270055, 201408270056"
562,201408270059,2014,8,26,0,Ukraine,Novoazovsk,47.119068,38.066851,,"08/26/2014: Multiple projectiles were fired and detonated in Novoazovsk city, Donetsk oblast, Ukraine. There were no reported casualties in the blasts. No group claimed responsibility; however, sources attributed the attack to the Donetsk People's Republic.",1,1,1,,1,0,3,Bombing/Explosion,14,Private Citizens & Property,75.0,Village/City/Town/Suburb,Novoazovsk City,City,Donetsk People's Republic,0.0,-99.0,0.0,0.0,6,Explosives,11.0,"Projectile (rockets, mortars, RPGs, etc.)",,,,,,0.0,0.0,0.0,-9,,"""Kiev says Russian army convoy in east Ukraine,"" Al Jazeera, August 27, 2014.",,,
