,eventid,iyear,imonth,iday,extended,country_txt,city,latitude,longitude,location,summary,crit1,crit2,crit3,alternative_txt,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,gname,guncertain1,nperps,nperpcap,claimed,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weapdetail,nkill,nkillter,nwound,property,addnotes,scite1,scite2,scite3,related
0,199111270012,1991,11,27,0,Ukraine,Kharkiv,49.9935,36.230383,,,1,1,1,,0,0,1,Assassination,2,Government (General),15.0,Politician or Political Party Movement/Meeting/Rally,Candidate for Presidency of Ukrain,Candidate Leonid Kravchuk,Unknown,0.0,,,,9,Melee,23.0,Knife or Other Sharp Object,,,,,Knife,0.0,,1.0,0,,,,,
1,199112010015,1991,12,1,0,Ukraine,Kiev,50.4501,30.5234,,,1,1,1,,0,0,3,Bombing/Explosion,15,Religious Figures/Institutions,86.0,Place of Worship,,Main Synagogue,Unknown,0.0,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,Explosive,0.0,,0.0,1,,,,,
2,199203300016,1992,3,30,0,Ukraine,Kryvyi Rih,47.909421,33.391969,,,1,1,1,,1,0,3,Bombing/Explosion,19,Transportation,100.0,Train/Train Tracks/Trolley,Pridneprovskaya Railway,Rivoy Rog Station,Unknown,0.0,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,Explosive,1.0,,1.0,1,,,,,
3,199401180002,1994,1,18,0,Ukraine,Simferopol,44.952117,34.102416999999996,,,1,1,1,,0,0,1,Assassination,2,Government (General),18.0,"Government Personnel (excluding police, military)",Government,Tartar Parliament Member Eskander Nemetov,Unknown,0.0,,,,5,Firearms,3.0,Handgun,,,,,Pistol,2.0,,1.0,0,,,,,
4,199405210002,1994,5,21,0,Ukraine,Sevastopol,44.61665,33.525366999999996,,,1,1,0,Insurgency/Guerilla Action,1,0,2,Armed Assault,4,Military,27.0,Military Barracks/Base/Headquarters/Checkpost,Military,"Strategi Facility, Anti Aircraft Defense",Unknown,0.0,10.0,,,5,Firearms,2.0,Automatic or Semi-Automatic Rifle,,,,,Automatic firearm,,0.0,,1,,,,,
5,199405300002,1994,5,30,0,Ukraine,Kiev,50.4501,30.5234,,,1,1,1,,0,0,1,Assassination,2,Government (General),18.0,"Government Personnel (excluding police, military)",Government,Parliament member Volodymyr Bortnyk,Unknown,0.0,,,,5,Firearms,3.0,Handgun,,,,,Pistol,0.0,,1.0,0,,,,,
6,199406260007,1994,6,26,0,Ukraine,Kiev,50.4501,30.5234,,,1,1,1,,1,0,3,Bombing/Explosion,14,Private Citizens & Property,73.0,Vehicles/Transportation,Unknown,BMW car on street,Unknown,0.0,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,Explosive,0.0,,0.0,1,,,,,
7,199406270005,1994,6,27,0,Ukraine,Kiev,50.4501,30.5234,,,1,1,1,,0,0,1,Assassination,2,Government (General),21.0,Government Building/Facility/Office,Government,Anatoliy Selivanov,Unknown,0.0,,,,6,Explosives,7.0,Grenade,,,,,Grenade,0.0,,2.0,0,,,,,
8,199406290003,1994,6,29,0,Ukraine,Simferopol,44.952117,34.102416999999996,,,1,1,1,,1,0,1,Assassination,2,Government (General),15.0,Politician or Political Party Movement/Meeting/Rally,Crimean Christian-Liberal Party,Party leader Yevgeniy Podanev,Unknown,0.0,,,,13,Unknown,,,,,,,,1.0,,0.0,0,,,,,
9,199408120003,1994,8,12,0,Ukraine,Simferopol,44.952117,34.102416999999996,,,1,1,1,,1,0,3,Bombing/Explosion,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Unk,U/I Apartment,Unknown,0.0,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,Explosive,0.0,,0.0,1,,,,,
10,199408120004,1994,8,12,0,Ukraine,Simferopol,44.952117,34.102416999999996,,,1,1,1,,1,0,3,Bombing/Explosion,1,Business,2.0,Restaurant/Bar/Café,Unk,U/I Restaurant,Unknown,0.0,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,Explosive,0.0,,0.0,1,,,,,
11,199409200002,1994,9,20,0,Ukraine,Kiev,50.4501,30.5234,,,1,1,1,,0,0,1,Assassination,2,Government (General),18.0,"Government Personnel (excluding police, military)",Foreign Trade Ministry,"Foreign Trade Minister Serniy Osyka, 35",Unknown,0.0,4.0,,,9,Melee,23.0,Knife or Other Sharp Object,,,,,Knife,0.0,,1.0,0,,,,,
12,199410040003,1994,10,4,0,Ukraine,Kiev,50.4501,30.5234,,,1,1,1,,0,0,1,Assassination,2,Government (General),15.0,Politician or Political Party Movement/Meeting/Rally,Parliament member,People's Deputy Sheriy Chumasov and wife,Unknown,0.0,1.0,,,9,Melee,23.0,Knife or Other Sharp Object,,,,,Knife,1.0,,1.0,0,,,,,
13,199502010005,1995,2,1,0,Ukraine,Simferopol,44.952117,34.102416999999996,,,1,1,1,,0,0,1,Assassination,1,Business,4.0,Multinational Corporation,Crimean Gas Production Assoc.,Dir. General,Unknown,0.0,,,,5,Firearms,5.0,Unknown Gun Type,,,,,Firearm,0.0,,2.0,0,,,,,
14,199505220099,1995,5,22,0,Ukraine,Odessa,46.484583,30.7326,,,1,1,1,,1,0,3,Bombing/Explosion,6,Airports & Aircraft,43.0,Airline Officer/Personnel,Austrian Airlines,airport office,Unknown,0.0,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,Explosive,0.0,,0.0,1,,,,,
15,199603230005,1996,3,23,0,Ukraine,Kiev,50.4501,30.5234,,,1,1,1,,1,0,3,Bombing/Explosion,1,Business,,,Skif 88 Crimean Association,American-Crimean Corp,Unknown,0.0,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,Explosive,0.0,,0.0,1,,,,,
16,199607160006,1996,7,16,0,Ukraine,Kiev,50.4501,30.5234,,,1,1,1,,0,0,1,Assassination,2,Government (General),15.0,Politician or Political Party Movement/Meeting/Rally,,Ukrainian Preimer,Unknown,0.0,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,Explosive,0.0,,3.0,0,,,,,
17,199608240003,1996,8,24,1,Ukraine,Simferopol,44.952117,34.102416999999996,,,1,1,1,,1,0,6,Hostage Taking (Kidnapping),2,Government (General),15.0,Politician or Political Party Movement/Meeting/Rally,,Chairman of Crimean Parliament,Unknown,0.0,,,,5,Firearms,5.0,Unknown Gun Type,,,,,Firearm,0.0,,0.0,0,,,,,
18,199705160005,1997,5,16,0,Ukraine,Simferopol,44.952117,34.102416999999996,,,1,1,1,,1,0,1,Assassination,1,Business,,,,Privatization chief,Unknown,0.0,,,,5,Firearms,5.0,Unknown Gun Type,,,,,Small caliber,1.0,,0.0,0,,,,,
19,199708110009,1997,8,11,0,Ukraine,Odessa,46.484583,30.7326,,,1,1,1,,1,0,1,Assassination,10,Journalists & Media,53.0,Newspaper Journalist/Staff/Facility,Vechernyaya Odessa Newspaper,Editor-in-Chief Borys Derevyanko,Unknown,0.0,,,,5,Firearms,3.0,Handgun,,,,,Pistol,1.0,,0.0,0,,,,,
20,199907080003,1999,7,8,0,Ukraine,Perechesk,50.430754,30.532801,,"07/08/1999: Two unknown assailants lobbed two Molotov cocktails at the United States Embassy in Kiev, Ukraine. The fire was immediately extinguished and there were no injuries or damage to the area.",1,1,1,Other Crime Type,0,0,7,Facility/Infrastructure Attack,7,Government (Diplomatic),46.0,Embassy/Consulate,United States Department of State,"United States Embassy in Kiev, Ukraine",Unknown,0.0,2.0,0.0,0.0,8,Incendiary,20.0,Gasoline or Alcohol,,,,,,0.0,0.0,0.0,0,,"""Molotov Cocktails Aimed at U.S. Embassy,"" Eastern Economist Daily, July 12, 1999.",,,
21,199910020001,1999,10,2,0,Ukraine,Ingulets,47.729721999999995,33.254721999999994,,"10/02/1999: An assassination attempt on Natalya Vetrenko, a Ukrainian Presidential Candidate from the Progressive Socialist Party, injured Vetrenko and Party leader Vladimir Marchenko, as well as 33 additional people, two of whom were hospitalized in serious condition and two in critical condition. At approximately 8:00pm local time, the perpetrators threw two RGD-5 fragmentation hand grenades at Vetrenko as she was getting into her car following a meeting with voters in Inguletsk, Dnepropetrovsk Oblast, Ukraine. Two people suspected of carrying out the attack were arrested and a rival candidate's campaign organizer was also suspected of being involved in the incident.",1,1,1,Other Crime Type,0,0,1,Assassination,2,Government (General),15.0,Politician or Political Party Movement/Meeting/Rally,Progressive Socialist Party,"Natalya Vetrenko, a Ukrainian Presidential Candidate from the Progressive Socialist Party",Unknown,0.0,2.0,2.0,0.0,6,Explosives,7.0,Grenade,,,,,,0.0,0.0,35.0,1,,"Sergei Shargorodsky, Grenades Injure Presidential Contender, Dozens of People in Ukraine,"" The Associated Press, October 3, 1999.","""Up to 15 people Injured in Attempt on Ukrainian Presidential Candidate, BBC Monitoring, October 3, 1999.","""In Ukraine Attempt made on Presidential Candidates life, Interfax, October 3, 1999.",
22,199911070006,1999,11,7,0,Ukraine,Lviv,49.839683,24.029717,,"11/07/1999: The apartment of an ethnic Russian, Tetiana Shvetsova, in the city of Lviv, Ukraine, was set ablaze by unknown extremists. This is one of three attacks on three separate apartments owned by ethnic Russians or Jews in Lviv on 11/07/1999. No casualties resulted from the incident. It was unknown who was responsible for the incident.",1,1,1,,1,0,7,Facility/Infrastructure Attack,14,Private Citizens & Property,71.0,Race/Ethnicity Identified,Ethnic Russian,Tetiana Shvetsova,Unknown,0.0,,0.0,0.0,8,Incendiary,18.0,Arson/Fire,,,,,There was no report describing how the arson was set.,0.0,0.0,0.0,1,"This is one of 3 related incidents (cf. 199911070007, 199911070008). Tetiana Shvetsova head an ethnic Russian womens' group in western Ukraine.","Apartments of Jewish, ethnic Russian leaders torched in western Ukraine, Associated Press Worldstream, November 16, 1999.",,,"199911070006, 199911070007, 199911070008"
23,199911070007,1999,11,7,0,Ukraine,Lviv,49.839683,24.029717,,"11/07/1999: The apartment of an ethnic Jew, Professor Rudolf Myrsky, in the city of Lviv, Ukraine, was set ablaze by unknown extremists. This is one of three attacks on three separate apartments owned by ethnic Russians or Jews in Lviv on 11/07/1999. No casualties resulted from the incident. It was unknown who was responsible for the incident.",1,1,1,,1,0,7,Facility/Infrastructure Attack,8,Educational Institution,48.0,Teacher/Professor/Instructor,Ethnic Jew,Professor Rudolf Myrsky,Unknown,0.0,,0.0,0.0,8,Incendiary,18.0,Arson/Fire,,,,,There was no report describing how the arson was set.,0.0,0.0,0.0,1,"This is one of 3 related incidents (cf. 199911070006, 199911070008). Professor Rudolf Myrsky was a member of the Golden Rose Jewish association.","Apartments of Jewish, ethnic Russian leaders torched in western Ukraine, Associated Press Worldstream, November 16, 1999.",,,"199911070007, 199911070006, 199911070008"
24,199911070008,1999,11,7,0,Ukraine,Lviv,49.839683,24.029717,,"11/07/1999: The apartment of an ethnic Jew, Yuliy Shterenberg, in the city of Lviv, Ukraine, was set ablaze by unknown extremists. This is one of three attacks on three separate apartments owned by ethnic Russians or Jews in Lviv on 11/07/1999. No casualties resulted from the incident. It was unknown who was responsible for the incident.",1,1,1,,1,0,7,Facility/Infrastructure Attack,14,Private Citizens & Property,69.0,Religion Identified,Ethnic Jew,Yuliy Shterenberg,Unknown,0.0,,0.0,0.0,8,Incendiary,18.0,Arson/Fire,,,,,There was no report describing how the arson was set.,0.0,0.0,0.0,1,"This is one of 3 related incidents (cf. 199911070006, 199911070007). Yuliy Shterenberg was the head of the public Shalom committee.","Apartments of Jewish, ethnic Russian leaders torched in western Ukraine, Associated Press Worldstream, November 16, 1999.",,,"199911070008, 199911070006, 199911070007"
25,199911230005,1999,11,23,0,Ukraine,Kiev,50.4501,30.5234,,"11/23/1999: Unidentified assailants attempted to assassinate Dmitri Divorces of the Vinnitsa Regional Administration in Kiev, Ukraine. Dvorkis and his bodyguard were wounded and his driver was killed.",1,1,1,Other Crime Type,0,0,1,Assassination,2,Government (General),15.0,Politician or Political Party Movement/Meeting/Rally,Vinnitsa Regional Administration,Dmitri Divorces,Unknown,0.0,,,0.0,5,Firearms,2.0,Automatic or Semi-Automatic Rifle,,,,,,1.0,0.0,2.0,-9,,"Attempt to Kill Former Ukrainian Regional Chief, Interfax, November 23, 1999.",,,
26,200011070005,2000,11,7,0,Ukraine,Luhansk,48.581534999999995,39.355545,In front of the First Ukrainian International Bank,"11/7/2000: An unidentified individual placed a bomb at the First Ukrainian International Bank in Luhansk, Luhansk Oblast, Ukraine.  No one was injured in the explosion and the building suffered only minor damage.  No group claimed responsibility for the attack and the motive is unknown.",1,1,1,,1,0,3,Bombing/Explosion,1,Business,3.0,Bank/Commerce,Ukrainian bank,First Ukrainian International Bank,Unknown,0.0,-99.0,0.0,0.0,6,Explosives,16.0,Unknown Explosive Type,,,,,,0.0,0.0,0.0,1,,"""Bomb damages World Bank building in eastern city,"" IntelNews News Agency, November 8, 2000.","""Ukraine - Agency correction to bank bomb story of 8th November,"" IntelNews News Agency, November 10, 2000.",,
27,200201230001,2002,1,23,0,Ukraine,Odessa,46.484583,30.7326,,"01/23/2002: The Odessa city prosecutor, Halyna Klymovych, was the target of a car-bombing in Odessa, Ukraine. The prosecutor was unhurt in the attack, although two others were injured.",1,1,1,,1,0,3,Bombing/Explosion,2,Government (General),14.0,Judge/Attorney/Court,Ukranian Government Official,"Odessa City Prosecutor, Halyna Klymovych",Unknown,0.0,,,0.0,6,Explosives,15.0,Vehicle,,,,,The car bomb was suspected to be detonated via remote control. Nails and army explosives had been placed under the car.,0.0,0.0,2.0,1,"The main theory investigated in regard to the cause of the assassination attempt was that it was an attempt to frighten or kill Halyna Klymovych, who had investigated several major criminal cases in Odessa.","Car bomb explodes in front of prosecutors apartment, Novyy Kanal Television, January 23, 2002.",,,
28,200203300003,2002,3,29,0,Ukraine,Kiev,50.4501,30.5234,A building on Chornovil Street,"3/29/2002: Mykola Shkriblyak, a candidate of the Social Democratic Party, was shot inside of his apartment building in Kiev, Kiev City Municipality, Ukraine.  He died the next day from his injuries.  No group has claimed responsibility for the attack and the motive is unknown; however, the attack occurred two days before parliamentary elections.",1,1,1,,1,0,1,Assassination,14,Private Citizens & Property,84.0,Political Party Member/Rally,Parliamentary candidate,"Mykola Shkriblyak, a candidate of the Social Democratic Party",Gunmen,0.0,-99.0,0.0,0.0,5,Firearms,5.0,Unknown Gun Type,,,,,He was shot from behind by an unknown gunman,1.0,0.0,0.0,0,,"Charlton, Angela, ""Ukrainian candidate dies in shooting,"" Associated Press, March 31, 2002.","""Parliamentary hopeful shot dead in western Ukraine,"" UNIAN News Agency, March 30, 2002.","""Candidate murdered days before Ukraine's parliamentary elections,"" Xinhua General News Service, March 30, 2002.",
29,200205110006,2002,5,11,0,Ukraine,Berehove,48.2,22.633333,,"05/11/2002: An unknown perpetrator threw two gasoline bombs at the house of a Ukrainian journalist who worked for Fest and for Staryy Zamok regional newspapers in Berehove, Ukraine. The bombs started a fire that was extinguished before anyone was hurt. No group claimed responsibility for the attack.",1,1,1,,1,0,3,Bombing/Explosion,10,Journalists & Media,53.0,Newspaper Journalist/Staff/Facility,Fest and Staryy Zamok Regional Newspapers,A journalist's home in Berehove,Unknown,0.0,1.0,0.0,0.0,8,Incendiary,20.0,Gasoline or Alcohol,,,,,Two gasoline bombs were thrown at the house.,0.0,0.0,0.0,-9,,"Arson attack on journalist's house reported in western Ukraine, Interfax, May 11, 2002.",,,
30,200311190001,2003,11,19,0,Ukraine,Odessa,46.484583,30.7326,,"11/19/2003: Five unknown attackers severely beat Oleksandr Levit, a reporter for the Ukrainian newspaper Fakty I Kommentarii, in Odessa, Ukraine.  The attackers indicated that the beating was a response to the journalists critical articles.  No group claimed responsibility for the assault.",0,1,1,Other Crime Type,1,0,8,Unarmed Assault,10,Journalists & Media,53.0,Newspaper Journalist/Staff/Facility,Fakty I Kommentarii Newspaper,"Oleksandr Levit, a reporter working for the Fakty I Kommentarii Newspaper in Odessa",Unknown,0.0,5.0,0.0,0.0,9,Melee,22.0,"Hands, Feet, Fists",,,,,,0.0,0.0,1.0,0,Fakty I Kommentarii did not believe that Levit's reporting had motivated the attack against him.,"Ukraine Journalist Receives Beating in Odessa, Interfax, November 20, 2003.","Ukrainian Journalist Beaten in Latest Attack, The Associated Press, November 20, 2003.",,
31,200711070014,2007,11,7,0,Ukraine,Lviv,49.839683,24.029717,,"11/07/2007: Unknown attackers released tear gas into a Russian-language school in Lviv, Ukraine. The school was evacuated and no one was injured. There were no media accounts of any group claiming responsibility for the attack.",1,1,1,,0,0,8,Unarmed Assault,8,Educational Institution,49.0,School/University/Educational Building,Lviv Middle School Number 5,Students and teachers,Unknown,0.0,,0.0,0.0,2,Chemical,,,,,,,The agent was tear gas,0.0,0.0,0.0,0,,"""Russian-language school tear-gassed in Ukraine, hundreds evacuated,"" Deutsche Presse-Agentur, November 7, 2007.",,,
32,200804210007,2008,4,21,0,Ukraine,Perechesk,50.430754,30.532801,"Shevchenko Park in Kyiv, Ukraine, Ukraine.","4/21/2008: On Monday, at 1910, an unidentified explosive device equivalent to some 100 grams of TNT went off in Shevchenko Park in Kyiv, Ukraine, Ukraine. The blast wounded two female students from the Taras Shevchenko National University, who were passing by at the moment of the explosion. The attack could have been a terrorist attack marking Adolf Hitler's birthday. No group claimed responsibility for the attack.",1,1,1,,1,0,3,Bombing/Explosion,8,Educational Institution,49.0,School/University/Educational Building,,Two female students from the Taras Shevchenko National University,Unknown,0.0,-99.0,0.0,0.0,6,Explosives,16.0,Unknown Explosive Type,,,,,An unidentified explosive device equivalent to some 100 grams of TNT.,0.0,0.0,2.0,-9,,"World News Connection, ""Blast in Kyiv Park Could Have Been Committed to Mark Hitler's Birthday - Interior Minister,"" Interfax, April 23, 2008.","Lexis Nexis, ""Blast in Kyiv Park Could Have Been Committed to Mark Hitler's Birthday -  Interior Minister,"" Ukraine General Newswire, April 23, 2008.",,
33,200902140013,2009,2,14,0,Ukraine,Odessa,46.484583,30.7326,The incident occured in Odessa.,"02/14/2009:  On Saturday, at 2300,  in Odesa, Odes'ka Oblast', Ukraine an improvised explosive device exploded when a police officer opened the door to his automobile. The police officer was injured in the incident and minor damage was caused to the vehicle.",1,1,1,,1,0,3,Bombing/Explosion,3,Police,25.0,Police Security Forces/Officers,,Ukrainian police officer was the target.,Unknown,0.0,-99.0,-99.0,0.0,6,Explosives,15.0,Vehicle,,,,,An improvised explosive device was used in the attack.,0.0,,1.0,1,,"National Counterterrorism Center, ""One Police Officer Injured in Improvised Explosive Device Attack in Odesa, Odes'ka Oblast', Ukraine,"" Worldwide Incidents Tracking System (December 08, 2009).","Itar Tass News Agency (Russian Federation), ""Odessa Policeman Injured in Car Bomb Explosion,"" Itar Tass News Agency (Russian Federation), February 15, 2009",,
34,200903110018,2009,3,11,0,Ukraine,Solomianka,50.422273,30.457787,The attack took place in Kiev.,"03/11/2009: On Wednesday, at 1230, on 3/8 Furmanova Street, Kiev, Ukraine, a RGD-5 type grenade was tossed from a moving car as it passed the office linked with Kiev's main railway station. It was thrown through the window of the sanitary control office by an unknown assailant; seven people were injured and the blast ranged about 20 meters. No damage or motive were reported and no group claimed responsibility.",1,1,1,,1,0,3,Bombing/Explosion,19,Transportation,100.0,Train/Train Tracks/Trolley,,The office linked to Kiev's main railway station,Unknown,0.0,-99.0,0.0,0.0,6,Explosives,11.0,"Projectile (rockets, mortars, RPGs, etc.)",,,,,A RGD-5 type grenade was used in the attack.,0.0,0.0,7.0,-9,,"Press TV, ""Grenade Attack Leaves Seven Injured in Kiev,"" http://www.presstv.ir/Detail.aspx?id=88268&sectionid=351020606 (March 11, 2009).","National Counterterrorism Center, ""Seven Civilians Wounded in Grenade Attack in Kiev, Ukraine,"" Worldwide Incidents Tracking System, December 22, 2009.",,
35,201007280006,2010,7,28,0,Ukraine,Zaporozhye,47.8388,35.139567,The attack took place at St. Intercession Orthodox Church in Zaporozhye.,"07/28/2010: On Wednesday afternoon at about 1630, in Zaporizhzhya, Ukraine, a bomb blast killed an 80 year old nun and injured eight people at the St. Intercession Orthodox Church. The device was equivalent to 500 grams of TNT and damaged several windows and the floor of the church. No group claimed responsibility, although three people have been arrested in connection with the bombing; one of the suspects was identified as Yevhen Fedorchenko.",1,1,1,,1,0,3,Bombing/Explosion,15,Religious Figures/Institutions,86.0,Place of Worship,St. Intercession Orthodox Church,St. Intercession Orthodox Church was targeted in the attack.,Unknown,0.0,-99.0,3.0,0.0,6,Explosives,16.0,Unknown Explosive Type,,,,,An explosive device equivalent to 500 grams of TNT was used in the attack.,1.0,0.0,8.0,1,,"Xinhua News Agency, ""One Killed, Eight Injured in Ukraine Church Blast,"" Xinhua News Agency, July 29, 2010, http://news.xinhuanet.com/english2010/world/2010-07/29/c_13419832.htm.","Olzhas Auyezov & Dmitry Solovyov, ""Bomb at Ukrainian Church Kills One, Eight Wounded,"" Reuters, July 28, 2010, http://www.alertnet.org/thenews/newsdesk/LDE66R250.htm.","Interfax, ""Three Arrested for Ukrainian Church Bombing,"" World News Connection, Interfax, August 9, 2010.",
36,201010220017,2010,10,22,0,Ukraine,Kirovohrad,48.507933,32.262316999999996,"The attack occurred at a police station in Kirovograd, Ukraine, Ukraine.","10/22/2010: On Friday night, in Kirovograd, Ukraine, Ukraine, in one of three related attacks, unknown assailants placed and then detonated an improvised explosive device outside a police station. The blast caused no casualties but damaged the windows of the station. No group claimed responsibility for the attack.",1,1,1,,1,0,3,Bombing/Explosion,3,Police,22.0,"Police Building (headquarters, station, school)",Ukrainian Law Enforcement,A police station was targeted in the attack.,Unknown,0.0,-99.0,0.0,0.0,6,Explosives,17.0,Other Explosive Type,,,,,An improvised explosive device was used in the attack.,0.0,0.0,0.0,1,,"Press TV, ""Three Blasts Hit Central Ukraine,"" http://www.presstv.ir/detail/147767.html (October 22, 2010).","Wang Guanqun, ""Three Bombs Explode in Ukraine's Kirovograd Hours Before Yanukovych's Arrival,"" Xinhua News Agency, October 22, 2010, http://news.xinhuanet.com/english2010/world/2010-10/22/c_13570968.htm.","Itar Tass News Agency, ""Three Explosions Staged in Kirovograd, Ukraine,"" LexisNexis Academic, Itar Tass News Agency, October 22, 2010.","201010220017, 201010220018, 201010220019"
37,201010220018,2010,10,22,0,Ukraine,Kirovohrad,48.507933,32.262316999999996,"The attack occurred outside a courthouse in Kirovograd, Ukraine, Ukraine.","10/22/2010: On Friday night, in Kirovograd, Ukraine, Ukraine, in one of three related attacks, unknown militants placed and then detonated an improvised explosive device outside a courthouse. There were no casualties or damages and no group claimed responsibility for the attack.",1,1,1,,1,0,3,Bombing/Explosion,2,Government (General),14.0,Judge/Attorney/Court,Ukrainian Government,A court building was targeted in the attack.,Unknown,0.0,-99.0,0.0,0.0,6,Explosives,17.0,Other Explosive Type,,,,,An improvised explosive device was used in the attack.,0.0,0.0,0.0,0,,"Press TV, ""Three Blasts Hit Central Ukraine,"" http://www.presstv.ir/detail/147767.html (October 22, 2010).","Wang Guanqun, ""Three Bombs Explode in Ukraine's Kirovograd Hours Before Yanukovych's Arrival,"" Xinhua News Agency, October 22, 2010, http://news.xinhuanet.com/english2010/world/2010-10/22/c_13570968.htm.","Itar Tass News Agency, ""Three Explosions Staged in Kirovograd, Ukraine,"" LexisNexis Academic, Itar Tass News Agency, October 22, 2010.","201010220018, 201010220017, 201010220019"
38,201010220019,2010,10,22,0,Ukraine,Kirovohrad,48.507933,32.262316999999996,"The attack occurred at the state prosecutors office in Kirovograd, Ukraine, Ukraine.","10/22/2010: On Friday night at 0350, in Kirovograd, Ukraine, Ukraine, in one of three related attacks, unknown militants placed and then detonated an improvised explosive device outside the Kirovograd regional state prosecutor's office. No damage was done to the office and no casualties were reported. No group claimed responsibility for the attack.",1,1,1,,1,0,3,Bombing/Explosion,2,Government (General),21.0,Government Building/Facility/Office,Ukrainian Government,The regional state prosecutor's office,Unknown,0.0,-99.0,0.0,0.0,6,Explosives,17.0,Other Explosive Type,,,,,An improvised explosive device was used in the attack.,0.0,0.0,0.0,0,,"Press TV, ""Three Blasts Hit Central Ukraine,"" http://www.presstv.ir/detail/147767.html (October 22, 2010).","Wang Guanqun, ""Three Bombs Explode in Ukraine's Kirovograd Hours Before Yanukovych's Arrival,"" Xinhua News Agency, October 22, 2010, http://news.xinhuanet.com/english2010/world/2010-10/22/c_13570968.htm.","Itar Tass News Agency, ""Three Explosions Staged in Kirovograd, Ukraine,"" LexisNexis Academic, Itar Tass News Agency, October 22, 2010.","201010220019, 201010220017, 201010220018"
39,201101200015,2011,1,20,0,Ukraine,Makiyivka,48.04668,37.942146,"The attack took place at a shopping center in the Makiyivka area of Donetsk, Ukraine, Ukraine.","01/20/2011: On Thursday night at 0400, in the town of Makiyivka, Donetsk city, Ukraine, Ukraine, in one of two related attacks, an improvised explosive device detonated at a shopping center, but no casualties or damages were reported. The second attack, targeting the office of a state owned coal company, took place only a few moments before. No group has claimed responsibility for the attack.",1,1,1,,1,0,3,Bombing/Explosion,1,Business,7.0,Retail/Grocery/Bakery,,A shopping center,Unknown,0.0,-99.0,0.0,0.0,6,Explosives,17.0,Other Explosive Type,,,,,An improvised explosive device was used in the attack.,0.0,0.0,0.0,-9,,"Jane's Intelligence, ""Improvised Explosive Device Attacks Target Commercial Properties in Ukraine's Donetsk,"" Terrorism Watch Report, Five Kanal TV, January 20, 2011.","Andrew Roche, ""UPDATE Three-Two Bombs Hit Eastern Ukraine,"" Reuters, January 20, 2011, http://www.trust.org/alertnet/news/update-3-two-bombs-hit-eastern-ukraine/.","Deng Shasha, ""Two Explosions Hit Eastern Ukraine,"" Xinhua News Agency, January 20, 2011, http://news.xinhuanet.com/english2010/world/2011-01/20/c_13700152.htm.","201101200015, 201101200016"
40,201101200016,2011,1,20,0,Ukraine,Makiyivka,48.04668,37.942146,"The attack took place at a state owned coal mining company's office building in the town of Makiyivka, Donetsk Region, Ukraine.","01/20/2011: On Thursday morning, in the town of Makiyivka, Donetsk city, Ukraine, Ukraine, in one of two related attacks, a state owned coal company office was targeted by an improvised explosive device, which was placed by unknown assailants. The explosion damaged the building and all of the windows on the first floor had been blown out. No casualties were reported and no group has claimed responsibility for the attack.",1,1,1,,1,0,3,Bombing/Explosion,1,Business,10.0,Mining,,A state owned coal company's office building,Unknown,0.0,-99.0,0.0,0.0,6,Explosives,17.0,Other Explosive Type,,,,,An improvised explosive device was used in the attack.,0.0,0.0,0.0,1,,"Jane's Intelligence, ""Improvised Explosive Device Attacks Target Commercial Properties in Ukraine's Donetsk,"" Terrorism Watch Report, Five Kanal TV, January 20, 2011.","Andrew Roche, ""UPDATE Three-Two Bombs Hit Eastern Ukraine,"" Reuters, January 20, 2011, http://www.trust.org/alertnet/news/update-3-two-bombs-hit-eastern-ukraine/.","Deng Shasha, ""Two Explosions Hit Eastern Ukraine,"" Xinhua News Agency, January 20, 2011, http://news.xinhuanet.com/english2010/world/2011-01/20/c_13700152.htm.","201101200016, 201101200015"
41,201111190022,2011,11,19,0,Ukraine,Kiev,50.4501,30.5234,Turgenevska Street,"11/19/2011: An unidentified explosive object detonated in the trunk of a car parked in an underground parking lot in Kiev, Ukraine.  Although the car was badly damaged, there were no other reported damages or injuries.  The reason behind the explosion is unknown and no one has claimed responsibility.",0,1,1,Other Crime Type,1,0,3,Bombing/Explosion,20,Unknown,,,Unknown,Unknown,Unknown,0.0,-99.0,0.0,0.0,6,Explosives,15.0,Vehicle,,,,,An unknown explosive device or substance planted in the trunk of a car,0.0,0.0,0.0,1,,"""Ukrainian police probe blast in underground car park in Kiev,"" Interfax-Ukraine News Agency, November 19, 2011.",,,
